fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.019801980198019802,1.0
0.0,0.7128712871287128,0.7757483072483072
0.010101010101010102,0.7128712871287128,0.7732207792207794
0.010101010101010102,0.8811881188118812,0.6673636363636364
0.020202020202020204,0.8811881188118812,0.6193540903540904
0.020202020202020204,0.8910891089108911,0.6190365190365192
0.030303030303030304,0.8910891089108911,0.6146967476967476
0.030303030303030304,0.9108910891089109,0.5606350316350316
0.050505050505050504,0.9108910891089109,0.5300111555111555
0.050505050505050504,0.9207920792079208,0.5278634143634143
0.0707070707070707,0.9207920792079208,0.5087295759795759
0.0707070707070707,0.9504950495049505,0.46775863025863024
0.10101010101010101,0.9504950495049505,0.44167388167388166
0.10101010101010101,0.9801980198019802,0.3337924297924298
0.3333333333333333,0.9801980198019802,0.11606410256410257
0.3333333333333333,0.9900990099009901,0.11091575091575091
0.48484848484848486,0.9900990099009901,0.08866666666666666
0.48484848484848486,1.0,0.08694300144300145
0.9292929292929293,1.0,0.004
1.0,1.0,0.0
