fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.009900990099009901,0.9999973403569332
0.0,0.6633663366336634,0.8806292560109105
0.010101010101010102,0.6633663366336634,0.8794682412058603
0.010101010101010102,0.8217821782178217,0.8029783886028288
0.020202020202020204,0.8217821782178217,0.7393470456626388
0.020202020202020204,0.8316831683168316,0.7291992961240427
0.04040404040404041,0.8316831683168316,0.6993213605632678
0.04040404040404041,0.8910891089108911,0.5460237587828614
0.050505050505050504,0.8910891089108911,0.5148022855951038
0.050505050505050504,0.900990099009901,0.5108361975649938
0.0707070707070707,0.900990099009901,0.456196153989074
0.0707070707070707,0.9108910891089109,0.41994841993723575
0.1111111111111111,0.9108910891089109,0.35660026948393736
0.1111111111111111,0.9207920792079208,0.35271982296389115
0.12121212121212122,0.9207920792079208,0.34297559657036025
0.12121212121212122,0.9405940594059405,0.24828554514140228
0.13131313131313133,0.9405940594059405,0.23399810393323683
0.13131313131313133,0.9504950495049505,0.2311766061951665
0.18181818181818182,0.9504950495049505,0.16487351754705382
0.18181818181818182,0.9603960396039604,0.15145152014582872
0.21212121212121213,0.9603960396039604,0.14602857574646905
0.21212121212121213,0.9702970297029703,0.13598069891060932
0.3434343434343434,0.9702970297029703,0.059107608687700465
0.3434343434343434,0.9801980198019802,0.05822878932298337
0.46464646464646464,0.9801980198019802,0.03896800575327745
0.46464646464646464,0.9900990099009901,0.03813508876465469
0.5252525252525253,0.9900990099009901,0.03219077579372216
0.5252525252525253,1.0,0.032044932535667064
1.0,1.0,0.0007414998691466053
