fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.009900990099009901,0.9999998504209135
0.0,0.6237623762376238,0.9999868486601776
0.010101010101010102,0.6237623762376238,0.9999859285444533
0.010101010101010102,0.801980198019802,0.9992065253211685
0.020202020202020204,0.801980198019802,0.9986076144800161
0.020202020202020204,0.8415841584158416,0.9960531588021221
0.030303030303030304,0.8415841584158416,0.9959801404914495
0.030303030303030304,0.8811881188118812,0.9866453560924069
0.04040404040404041,0.8811881188118812,0.9853869392954966
0.04040404040404041,0.9405940594059405,0.1819896019229208
0.050505050505050504,0.9405940594059405,0.13553379075296398
0.050505050505050504,0.9504950495049505,0.08523302061472576
0.09090909090909091,0.9504950495049505,0.005417721218674158
0.09090909090909091,0.9603960396039604,0.005316256900134308
0.10101010101010101,0.9603960396039604,0.0016466154205532198
0.10101010101010101,0.9702970297029703,0.0014966883439339225
0.18181818181818182,0.9702970297029703,8.575592635513445e-05
0.18181818181818182,0.9801980198019802,6.248434156396329e-05
0.3434343434343434,0.9801980198019802,4.569647359051854e-06
0.3434343434343434,0.9900990099009901,4.514463015620084e-06
0.47474747474747475,0.9900990099009901,2.3371830663530124e-06
0.47474747474747475,1.0,2.2732019870400877e-06
1.0,1.0,9.291927564592638e-08
