fpr,tpr,thresholds
0.0,0.0,inf
0.06060606060606061,0.8316831683168316,1.0
0.06060606060606061,0.8811881188118812,0.75
0.06060606060606061,0.900990099009901,0.2
0.08080808080808081,0.9207920792079208,0.14285714285714285
1.0,1.0,0.0
