,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.855,0.8913043478260869,0.8118811881188119,0.8497409326424871
Decision Tree,0.905,0.9270833333333334,0.8811881188118812,0.9035532994923858
Random Forest,0.95,0.9504950495049505,0.9504950495049505,0.9504950495049505
SVM,0.92,0.9381443298969072,0.900990099009901,0.9191919191919192
Gradient Boosting,0.94,0.9587628865979382,0.9207920792079208,0.9393939393939394
